category_checked,ticker,company,date,title,summary,ticker_sentiment_label,neg_earnings,neg_growth,neg_regulation,neg_competition,neg_macro,neg_other
neg_earnings,AAPL,Apple,2023-01-03,Apple’s market value drops below $2 trillion,"Apple Inc.'s market capitalization fell below $2 trillion for the first time since March 2021, driven by concerns over high inflation and a slowing global economy impacting demand for its products. This significant drop follows a year after the company briefly reached a $3 trillion valuation. Analysts have downgraded Apple due to anticipated supply chain issues and reduced consumer spending on high-end phones, forecasting a potential revenue decline.",Bearish,1,1,0,0,1,0
neg_earnings,AAPL,Apple,2023-01-04,Salesforce to lay off 10% of workforce to cut costs amid economic downturn,"Salesforce announced it will lay off 10% of its workforce and reduce office space to cut operating costs amid a challenging economic environment. CEO Marc Benioff admitted the company ""hired too many people"" during the pandemic's revenue surge, and the company is now facing the consequences. This move follows similar cost-cutting measures by other tech giants like Amazon, Apple, and Meta Platforms.",Somewhat-Bearish,1,0,0,0,1,0
neg_earnings,AAPL,Apple,2023-01-12,Buffett-Backed Taiwan Semiconductor Braces for Chip-Sector Downturn,"Taiwan Semiconductor Manufacturing (TSMC) reported record profits for its fourth quarter, exceeding analyst expectations, but also issued a warning about a potential downturn in demand for 2023. This news comes as the company, backed by Warren Buffett's Berkshire Hathaway, indicates higher costs for building facilities in the U.S. compared to Taiwan. TSMC is preparing for a challenging period in the chip sector despite its strong recent financial performance.",Somewhat-Bearish,1,1,0,0,0,0
neg_earnings,AAPL,Apple,2023-01-18,TSMC expects revenue to fall amid declining chip demand,"Taiwan Semiconductor Manufacturing Co. (TSMC) anticipates a decline in revenue for 2023 due to softening demand for chips, particularly from consumer device and data center clients. Despite a 26.7% year-over-year revenue increase in Q4, the company expects a more than 14% drop in Q1 revenue. TSMC forecasts the semiconductor market to bottom out in the first half of 2023, with a recovery expected in the second half, and is adjusting its spending plans accordingly while still investing in new facilities like the Arizona fab.",Somewhat-Bearish,1,1,0,0,0,0
neg_earnings,AAPL,Apple,2023-01-26,IBM Is Tech’s Most Beaten-Down Company,"This article argues that IBM has significantly fallen from its former prominence, ranking 49th on the Fortune 500 compared to 8th in 1980. Its recent financial results show flat revenue and modest net income, trailing far behind other tech giants like Apple, Amazon, and Microsoft. The author criticizes IBM for missing key technological advancements such as cloud computing, search, e-commerce, and operating systems despite its past R&D capabilities.",Somewhat-Bearish,1,0,0,0,0,0
neg_earnings,AAPL,Apple,2023-02-02,Apple sales drop 5% in largest quarterly revenue decline since 2016,"Apple recorded its first year-over-year sales decline since 2019, with overall sales for the holiday quarter down 5%. CEO Tim Cook attributed this miss to a strong dollar, production issues in China affecting the iPhone 14 Pro and Pro Max, and the challenging macroeconomic environment. While iPhone and Mac sales decreased, the company saw a significant increase in iPad revenue and a 6% growth in its services business.",Somewhat-Bearish,1,1,0,0,1,0
neg_earnings,AAPL,Apple,2023-02-16,Forget Milk and Eggs: Supermarkets Are Having a Fire Sale on Data About You,"Supermarkets like Kroger are making significant profits by collecting and selling extensive data on their customers' purchasing habits and personal information to brands and advertisers. This data, which includes demographics, financial information, and even in-store movements, is enriched with third-party data and used for targeted advertising. The proposed merger between Kroger and Albertsons would significantly expand this data pool, raising privacy concerns among regulators and lawmakers.",Somewhat-Bearish,1,0,1,0,0,0
neg_earnings,AAPL,Apple,2023-02-17,Garmin Ltd. stock outperforms competitors despite losses on the day,"Garmin Ltd. (GRMN) stock declined by 0.14% to $97.01 on Friday, marking its second consecutive day of losses. Despite the overall market's mixed performance and Garmin's losses, the stock outperformed competitors like Apple Inc. (AAPL) and Alphabet Inc. (GOOG, GOOGL) which saw larger drops. The trading volume for Garmin exceeded its 50-day average.",Somewhat-Bearish,1,0,0,1,0,0
neg_earnings,AAPL,Apple,2023-02-23,Unity Software stock slides nearly 20% as mobile-ad spending dries up and annual forecast weighs,"Unity Software Inc. shares fell nearly 20% after the company released its full-year forecast, which Wall Street found skeptical due to a currently weak quarter and declining mobile ad spending. This drop marked the worst decline for Unity stock since May 2022, when an advertising tool flaw was revealed. The company's struggles are attributed to a difficult annual forecast and the drying up of mobile ad spending.",Somewhat-Bearish,1,1,0,0,0,0
neg_earnings,AAPL,Apple,2023-04-06,General Motors hates your iPhone,"General Motors has decided to remove CarPlay and Android Auto support from its future electric vehicles, opting instead for its own Android Automotive-based infotainment system. This decision, driven by GM's desire for increased control over data and subscription revenues, is criticized for prioritizing corporate interests over user convenience and potentially degrading the in-car experience. The article raises concerns about app compatibility, data syncing, and the long-term software quality in GM vehicles, questioning whether other automakers will follow suit or leverage CarPlay as a competitive advantage.",Bearish,1,1,0,1,0,0
neg_growth,AAPL,Apple,2023-01-03,Apple’s market value drops below $2 trillion,"Apple Inc.'s market capitalization fell below $2 trillion for the first time since March 2021, driven by concerns over high inflation and a slowing global economy impacting demand for its products. This significant drop follows a year after the company briefly reached a $3 trillion valuation. Analysts have downgraded Apple due to anticipated supply chain issues and reduced consumer spending on high-end phones, forecasting a potential revenue decline.",Bearish,1,1,0,0,1,0
neg_growth,AAPL,Apple,2023-01-03,Think you have it bad?,"The article discusses the tough economic environment of 2022, highlighting how general market downturns for stocks and bonds meant financial advisors and fund managers who weren't down 20% effectively ""won."" It then focuses on two specific groups particularly affected: tech startup employees facing worthless stock options and layoffs, and mortgage brokers and realtors experiencing a deep freeze in the housing market after a period of rapid growth. The author suggests empathy for these groups, acknowledging the widespread difficulties while offering his firm's services for financial planning.",Somewhat-Bearish,0,1,0,0,1,0
neg_growth,AAPL,Apple,2023-01-11,Apple Watch patent infringement finding; Masimo seeks import ban,"A US court has ruled that Apple infringed on one of Masimo's pulse oximeter patents with its Apple Watch Series 6 and up, a significant setback in their ongoing legal battle. Masimo is now seeking a US import ban on all current Apple Watches, which could halt sales in the country. The United States International Trade Commission (USITC) will determine whether to implement this import ban.",Bearish,0,1,1,0,0,0
neg_growth,AAPL,Apple,2023-01-12,Buffett-Backed Taiwan Semiconductor Braces for Chip-Sector Downturn,"Taiwan Semiconductor Manufacturing (TSMC) reported record profits for its fourth quarter, exceeding analyst expectations, but also issued a warning about a potential downturn in demand for 2023. This news comes as the company, backed by Warren Buffett's Berkshire Hathaway, indicates higher costs for building facilities in the U.S. compared to Taiwan. TSMC is preparing for a challenging period in the chip sector despite its strong recent financial performance.",Somewhat-Bearish,1,1,0,0,0,0
neg_growth,AAPL,Apple,2023-01-18,TSMC expects revenue to fall amid declining chip demand,"Taiwan Semiconductor Manufacturing Co. (TSMC) anticipates a decline in revenue for 2023 due to softening demand for chips, particularly from consumer device and data center clients. Despite a 26.7% year-over-year revenue increase in Q4, the company expects a more than 14% drop in Q1 revenue. TSMC forecasts the semiconductor market to bottom out in the first half of 2023, with a recovery expected in the second half, and is adjusting its spending plans accordingly while still investing in new facilities like the Arizona fab.",Somewhat-Bearish,1,1,0,0,0,0
neg_growth,AAPL,Apple,2023-01-30,Google continued to ramp up federal lobbying spending before DOJ filed second antitrust lawsuit,"Google's parent company, Alphabet, significantly increased its federal lobbying expenditures, spending over $13 million in 2022, prior to the Department of Justice filing its second antitrust lawsuit. The lawsuit alleges Google monopolized the digital advertising technology sector by acquiring rivals and manipulating the auction process to stifle competition. Despite these lobbying efforts and substantial political contributions, particularly to Democratic candidates, Alphabet also announced mass layoffs of 12,000 employees in January 2023.",Somewhat-Bearish,0,1,1,1,0,0
neg_growth,AAPL,Apple,2023-02-02,Apple sales drop 5% in largest quarterly revenue decline since 2016,"Apple recorded its first year-over-year sales decline since 2019, with overall sales for the holiday quarter down 5%. CEO Tim Cook attributed this miss to a strong dollar, production issues in China affecting the iPhone 14 Pro and Pro Max, and the challenging macroeconomic environment. While iPhone and Mac sales decreased, the company saw a significant increase in iPad revenue and a 6% growth in its services business.",Somewhat-Bearish,1,1,0,0,1,0
